GeneSymbol	Slide1_001	Slide5_005	Slide1_004	Slide8_001	Slide3_009	Slide6_003	Slide5_004	Slide3_008	Slide7_001	Slide8_006	Slide1_008	Slide2_003	Slide7_007	Slide3_010	Slide2_001	Slide5_003	Slide5_006	Slide3_006	Slide1_009	Slide5_001	Slide1_002	Slide1_007	Slide6_004	Slide8_005	Slide7_004	Slide3_001	Slide7_003	Slide7_005	Slide1_003	Slide7_008	Slide2_004	Slide8_002	Slide1_006	Slide8_004	Slide3_005	Slide3_002	Slide6_005	Slide6_006	Slide2_002	Slide4_004
IFNGR2	1.46	0.028	3.3	0.072	0.116	0.14	0.012	0.068	3.732	0.068	3.48	0.052	0.176	0.032	0.088	0.052	0.004	0.092	0.464	0.012	2.46	1.62	0.064	0.064	1.316	0.012	4.916	0.272	0.152	0.18	0.076	0.104	0.276	0.08	0.06	0.064	0.04	0.068	0.06	0.032
MSR1	5.008	0.116	13.84	0.064	0.212	0.296	0.024	0.16	6.42	0.16	15.836	0.94	0.064	0.196	0.26	0.168	0.044	0.176	2.564	0.024	11.752	8.044	0.068	0.1	0.612	0.104	4.664	0.208	0.476	0.136	0.148	0.076	1.06	0.124	0.108	0.076	0.116	0.104	0.268	0.06
IFNAR2	0.232	0.012	0.504	0.004	0.012	0.036	0.008	0	0.688	0.012	0.28	0.024	0.02	0.012	0.024	0.008	0.004	0.02	0.072	0.016	0.452	0.268	0.02	0.012	0.168	0.008	0.684	0.048	0.008	0.032	0.008	0.02	0.044	0.02	0.028	0.008	0.008	0.012	0	0.008
TIGIT	0.012	0	0.008	0	0	0.012	0	0.004	0.044	0	0.008	0	0	0	0	0.004	0	0	0.004	0	0.012	0.008	0	0.004	0.004	0	0.064	0	0.004	0.004	0	0	0.004	0	0	0	0	0	0	0
GPX3	0.148	0.004	0.2	0.028	0.008	0.048	0.004	0.008	0.376	0.012	0.22	0.04	0.008	0.016	0.016	0.008	0.008	0.008	0.068	0.012	0.204	0.14	0.008	0.04	0.112	0.008	1.172	0.028	0.024	0.024	0.004	0.028	0.028	0.016	0.02	0.004	0.004	0.008	0.032	0.008
CD8B	0.012	0	0.096	0.008	0.008	0.004	0	0.008	0.036	0	0.036	0.016	0.004	0.008	0	0.012	0.008	0.004	0.008	0.004	0.028	0.02	0	0	0.04	0	0.088	0.008	0.004	0.012	0	0.008	0.004	0.012	0.02	0	0	0	0.012	0.004
IL4I1	1.2	0.04	2.408	0.184	0.376	0.428	0.04	0.236	1.588	0.308	2.748	0.228	0.084	0.436	0.156	0.052	0.028	0.28	0.448	0.116	1.48	1.62	0.152	0.144	0.76	0.224	2.104	0.152	0.232	0.14	0.172	0.336	0.364	0.292	0.324	0.204	0.18	0.168	0.08	0.184
AKT2	0.272	0	0.648	0.016	0.016	0.044	0.016	0.004	0.316	0.036	0.496	0.028	0.012	0.028	0.02	0.012	0	0	0.132	0.008	0.456	0.284	0.004	0.012	0.108	0.024	0.436	0.032	0.052	0.016	0.012	0.008	0.088	0.028	0.016	0.012	0.008	0.012	0.004	0.008
STAT4	0.012	0	0.036	0.004	0.004	0.016	0	0	0.048	0	0.024	0.008	0	0	0	0.004	0	0	0.004	0.004	0.004	0.008	0	0.008	0.02	0.004	0.072	0	0.004	0.004	0	0.008	0	0	0.008	0.008	0	0	0	0
CD79B	0.036	0	0.044	0	0.004	0	0.004	0.008	0.116	0.004	0.06	0.008	0.008	0	0.012	0.008	0	0.008	0.004	0.008	0.048	0.048	0.004	0.004	0.1	0	0.372	0.02	0	0.016	0	0.008	0.004	0.004	0.008	0	0.008	0	0.012	0
POU2AF1	0	0	0.008	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0
CCL8	1.756	0.012	14.168	0.048	0.108	0.128	0.02	0.084	1.704	0.06	9.776	0.116	0.044	0.056	0.064	0.04	0.008	0.168	0.196	0.048	2.132	3.66	0.056	0.032	0.552	0.04	2.476	0.128	0.04	0.104	0.064	0.136	0.244	0.116	0.156	0.056	0.044	0.028	0.052	0.044
SPP1	13.028	0.232	8.992	0.096	0.104	0.168	0.096	0.104	18.328	0.124	26.32	0.568	0.228	0.084	0.08	0.172	0.048	0.088	4.032	0.124	4.836	22.644	0.056	0.152	0.504	0.072	3.204	0.148	1.144	0.108	0.076	0.176	3.252	0.272	0.136	0.06	0.108	0.068	0.432	0.056
HLA.DRA	4.984	0.184	13.568	0.024	0.248	0.532	0.092	0.168	17.648	0.24	8.672	0.968	0.808	0.2	0.368	0.248	0.18	0.196	2.024	0.204	12.032	6.852	0.276	0.124	5.928	0.18	36.404	1.596	0.308	1.016	0.2	0.216	0.732	0.06	0.296	0.2	0.204	0.18	0.36	0.148
CXCL1	0.136	0.008	0.328	0.012	0.028	0.044	0	0.02	0.588	0.016	0.36	0.024	0.052	0.048	0.064	0.004	0	0.016	0.036	0.004	0.276	0.192	0.02	0.024	0.116	0.016	0.352	0.016	0.008	0.012	0.016	0.02	0.02	0.06	0.008	0.02	0.004	0.008	0.016	0.012
CXCL12	0.148	0	0.348	0.016	0.004	0.02	0	0.004	0.08	0.008	0.052	0.004	0.008	0.008	0.012	0.004	0	0.008	0.044	0.008	0.204	0.108	0.004	0.016	0.044	0.008	0.352	0.02	0.012	0.02	0	0.016	0.008	0.032	0	0.008	0.008	0.004	0	0.004
MYBL2	0.08	0.008	0.244	0.016	0	0.012	0	0.012	1.032	0.016	0.36	0.044	0.02	0.004	0.012	0.004	0.004	0.012	0.076	0.008	0.144	0.176	0	0.004	0.24	0.004	0.936	0.044	0.028	0.04	0.016	0.02	0.016	0.008	0.028	0.012	0.004	0.012	0.004	0.012
ITGA4	0.3	0.02	0.372	0.016	0.032	0.044	0.004	0.012	0.38	0.024	0.672	0.024	0.032	0.032	0.008	0	0.004	0.016	0.068	0.008	0.476	0.2	0.012	0.016	0.188	0.016	0.64	0.032	0.048	0.052	0.008	0.064	0.044	0.004	0.02	0.02	0.012	0	0.02	0.008
NFE2L2	0.276	0.004	0.684	0.008	0.012	0.016	0	0.012	0.648	0.016	0.756	0.028	0.012	0.008	0.008	0.012	0	0.024	0.144	0.008	0.364	0.484	0.012	0.008	0.224	0.008	1.072	0.06	0.02	0.036	0.016	0.028	0.048	0.024	0.008	0	0.016	0.016	0.008	0.008
TEAD4	0.06	0	0.272	0.004	0.008	0.016	0	0.008	0.116	0	0.236	0.012	0.004	0.012	0.008	0.004	0.012	0.012	0.02	0	0.072	0.148	0	0.004	0.04	0	0.132	0.016	0.016	0.012	0.004	0	0.008	0.012	0.008	0.004	0	0.008	0.02	0.004
PDCD1LG2	0.192	0.02	0.8	0.004	0.06	0.036	0.004	0.008	0.368	0.028	0.32	0.068	0.028	0.024	0.012	0.02	0.012	0.016	0.044	0.02	0.232	0.452	0.02	0.012	0.188	0.024	0.816	0.044	0.012	0.02	0.004	0.06	0.04	0.02	0.04	0.008	0.024	0.024	0.012	0.02
MET	0.088	0	0.176	0.004	0.008	0.02	0	0	0.06	0.008	0.136	0.028	0	0.004	0	0.008	0	0.02	0.012	0.004	0.08	0.112	0.004	0	0.008	0.004	0.16	0.024	0.004	0.004	0	0.012	0.004	0.008	0.012	0	0.004	0.02	0.012	0.012
ITGB2	1.196	0.016	2.896	0.004	0.048	0.088	0.008	0.036	3.412	0.016	2.092	0.2	0.16	0.072	0.076	0.064	0.012	0.092	0.436	0.04	2.036	1.292	0.032	0.036	1.156	0.048	5.056	0.192	0.06	0.16	0.1	0.048	0.16	0.052	0.056	0.02	0.024	0.06	0.084	0.02
SHARPIN	0.188	0.004	0.34	0.008	0.016	0.012	0.004	0.032	0.364	0.028	0.528	0.08	0.02	0.004	0.02	0.008	0.016	0	0.084	0.016	0.448	0.392	0.004	0.008	0.128	0.004	0.44	0.032	0.028	0.02	0.012	0.024	0.072	0.012	0.008	0.004	0.008	0.008	0.02	0.004
CX3CR1	0.112	0.008	0.244	0.016	0.04	0.008	0.004	0.016	0.056	0.012	0.26	0.032	0.008	0.024	0	0.004	0	0.008	0.068	0.02	0.62	0.236	0.008	0.008	0.032	0.008	0.124	0.004	0.016	0	0.012	0.008	0.02	0.024	0.02	0	0.008	0.012	0.02	0.004
CCR2	0.044	0	0.052	0	0	0.004	0	0	0.072	0.004	0.016	0.004	0	0.008	0	0.004	0.004	0.004	0.008	0.004	0.048	0.028	0.004	0.004	0.012	0	0.064	0.008	0.004	0.004	0	0.004	0	0.004	0	0.008	0	0.004	0.004	0.004
PDGFA	0.032	0.004	0.176	0.008	0.008	0.008	0	0.004	0.068	0.012	0.064	0.016	0.012	0.016	0	0.004	0	0.004	0.028	0.008	0.088	0.096	0.008	0.008	0.04	0	0.22	0.004	0	0.016	0.008	0.012	0.008	0.02	0.016	0.004	0.012	0.004	0.004	0
CEACAM1	0.088	0.004	0.264	0.012	0.004	0.016	0.004	0.012	0.156	0.012	0.26	0.012	0.012	0.004	0.004	0.012	0	0.008	0.06	0	0.124	0.156	0.004	0.004	0.084	0.016	0.168	0.004	0.024	0.016	0	0.008	0.02	0.016	0.008	0.008	0.008	0.008	0.004	0.012
TSC1	0.084	0.004	0.308	0.012	0.016	0.012	0.004	0.008	0.132	0	0.248	0.02	0.012	0	0.004	0.008	0	0.016	0.032	0.004	0.208	0.092	0	0.004	0.044	0.004	0.2	0.016	0.008	0.016	0.004	0	0.028	0.004	0.012	0.012	0.004	0.016	0.016	0
CHEK2	0.088	0.004	0.192	0.004	0	0.004	0	0	0.36	0.008	0.22	0.008	0.02	0.012	0.016	0.008	0	0.024	0.044	0.004	0.16	0.132	0	0	0.068	0.008	0.432	0.02	0.008	0.012	0.016	0.008	0.024	0.012	0.012	0	0.008	0	0.016	0.004
RELA	0.088	0.004	0.308	0.016	0.02	0.028	0	0.012	0.584	0.004	0.54	0.02	0.012	0.02	0.012	0.004	0.004	0.008	0.056	0.008	0.252	0.22	0.02	0.02	0.112	0.016	0.764	0.036	0.028	0.028	0.004	0.024	0.02	0.008	0.008	0.008	0.004	0.02	0.016	0.008
ICOSLG	0.208	0.008	0.832	0.012	0.044	0.028	0.004	0.024	0.508	0.024	0.304	0.028	0.028	0.016	0.024	0.008	0	0.012	0.052	0.004	0.312	0.268	0.02	0.008	0.168	0	0.596	0.024	0	0.036	0	0.024	0.012	0.04	0.008	0	0.004	0.02	0.008	0.016
AKT1	0.764	0.012	1.452	0.024	0.052	0.096	0.028	0.02	0.956	0.028	1.736	0.116	0.032	0.016	0.028	0.032	0.004	0.032	0.22	0.028	1.12	0.832	0.036	0.06	0.236	0.02	0.964	0.024	0.112	0.028	0.052	0.02	0.196	0.04	0.02	0.028	0.024	0.004	0.036	0.008
PDK1	0.088	0.012	0.12	0.008	0.004	0.004	0	0.008	0.124	0.008	0.056	0.016	0.016	0	0.008	0.008	0	0.004	0.044	0.008	0.12	0.08	0.008	0	0.056	0.004	0.192	0.016	0.004	0.016	0.004	0.008	0.004	0.008	0	0.008	0	0	0.004	0
FGFR3	0.244	0	0.472	0	0.016	0.016	0	0	0.104	0.012	0.448	0.008	0.012	0.012	0.012	0.004	0	0.008	0.02	0.008	0.544	0.316	0.004	0	0.04	0.004	0.276	0.016	0.02	0.012	0.012	0.016	0.096	0.008	0.024	0	0.008	0	0	0.008
HLA.B	7.24	0.144	20.108	0.02	0.264	0.3	0.08	0.172	18.168	0.132	17.5	0.476	1.04	0.208	0.216	0.108	0.14	0.444	1.808	0.14	15.148	12.144	0.212	0.108	6.252	0.16	34.884	1.552	0.544	0.944	0.152	0.228	0.904	0.056	0.396	0.404	0.056	0.092	0.164	0.06
CMKLR1	0.328	0.004	0.536	0.012	0.02	0.02	0	0.04	0.412	0.028	0.54	0.052	0.02	0.04	0.028	0.012	0	0.004	0.052	0.012	0.484	0.296	0.032	0.008	0.092	0.012	0.748	0.04	0.036	0.048	0.004	0.036	0.028	0.032	0.032	0.02	0.008	0.012	0.012	0.004
PRKCA	0.06	0	0.328	0.004	0.008	0.004	0	0	0.152	0.012	0.176	0.024	0.012	0.016	0.012	0.004	0	0.004	0.036	0.008	0.18	0.06	0.004	0	0.124	0.004	0.368	0.024	0	0.036	0.004	0.004	0.004	0.004	0.004	0.012	0.012	0.008	0.008	0
HLA.DPA1	5.504	0.116	11.756	0.084	0.232	0.46	0.036	0.14	9.628	0.216	9.66	0.344	0.608	0.188	0.208	0.152	0.072	0.156	1.468	0.172	13.62	6.136	0.272	0.132	3.516	0.144	19.644	0.872	0.296	0.656	0.116	0.184	0.688	0.104	0.256	0.188	0.196	0.12	0.216	0.164
SIGLEC1	1.236	0.028	4.564	0.056	0.04	0.088	0	0.052	0.868	0.1	4.556	0.128	0.084	0.048	0.036	0.04	0.004	0.032	0.404	0.02	2.996	2.872	0.012	0.028	0.304	0.068	2.124	0.216	0.06	0.068	0.04	0.04	0.22	0.06	0.068	0.048	0.02	0.024	0.048	0.032
AMOTL2	0.152	0.008	0.656	0.008	0.028	0.02	0.008	0.016	0.48	0.02	0.368	0.004	0.028	0.016	0.008	0.004	0.008	0	0.052	0.008	0.352	0.224	0	0.008	0.136	0.004	0.656	0.068	0.012	0.048	0.032	0.016	0.028	0.008	0.012	0.004	0.008	0.012	0.012	0.008
FGFR1	0.096	0.02	0.248	0.004	0	0.04	0.008	0.02	0.26	0.02	0.224	0.052	0.02	0.004	0.004	0.024	0.016	0.024	0.028	0.024	0.272	0.14	0.008	0.004	0.116	0.004	0.64	0.032	0.016	0.028	0.004	0.012	0.012	0.012	0.004	0.004	0.012	0.004	0.008	0.012
TRAT1	0.004	0	0.016	0.004	0.004	0.008	0	0	0.004	0.004	0.044	0	0	0	0.004	0.004	0	0	0	0	0.02	0	0	0	0.004	0.004	0.048	0	0	0	0	0.004	0	0	0	0	0	0	0.004	0
SELP	0.036	0.004	0.052	0	0.004	0.028	0.004	0	0.052	0.012	0.104	0.008	0.004	0.004	0	0.008	0	0.008	0	0.004	0.096	0.032	0.012	0.004	0.024	0.012	0.16	0.016	0.008	0.008	0.004	0.004	0.004	0.008	0	0	0.008	0.004	0.016	0.004
CTLA4	0.032	0	0.056	0	0	0.008	0.004	0.008	0.084	0.004	0.016	0.012	0.004	0.004	0	0	0	0	0.008	0	0.044	0.016	0	0	0.032	0	0.196	0.012	0.008	0.008	0	0.012	0	0.004	0.004	0.004	0	0	0	0.004
IKZF4	0.096	0.012	0.22	0.008	0.008	0.008	0	0.008	0.2	0.012	0.292	0.024	0.004	0.012	0.008	0	0	0.008	0.028	0.004	0.22	0.072	0.004	0.008	0.056	0.008	0.336	0.024	0.008	0.02	0.012	0.02	0.008	0.028	0.004	0.004	0.008	0.008	0.004	0.008
TAPBP	0.468	0.008	1.148	0.012	0.028	0.024	0.008	0.012	1.496	0.028	1.312	0.016	0.064	0.004	0.02	0.02	0	0.044	0.18	0.02	0.88	0.892	0.008	0.016	0.476	0.012	2.048	0.084	0.032	0.084	0.008	0.036	0.068	0.024	0.024	0.032	0.004	0.008	0.032	0.016
MLH1	0.164	0.004	0.424	0.016	0.016	0.02	0.012	0.004	0.44	0.012	0.28	0.028	0.028	0.02	0.032	0.016	0.016	0.012	0.068	0	0.264	0.284	0.02	0.004	0.136	0.008	0.752	0.036	0.016	0.016	0.008	0.016	0.044	0.016	0.008	0.004	0	0.012	0.016	0.004
ICOS	0.024	0.004	0.036	0.004	0.004	0	0	0	0.032	0.012	0.06	0.004	0.004	0	0	0.008	0.004	0.004	0.004	0	0.016	0.024	0	0	0.016	0.004	0.072	0.008	0	0.004	0.004	0	0	0	0	0	0	0	0	0
NEDD4	0.108	0.004	0.252	0	0.012	0.008	0.004	0.012	0.12	0.008	0.268	0.016	0.008	0.008	0.004	0.004	0	0.008	0.036	0.008	0.128	0.12	0.008	0.004	0.064	0.004	0.264	0.02	0.004	0.032	0.008	0.012	0.02	0	0.008	0	0	0.008	0.008	0.004
FCGR3A	2.72	0.096	17.836	0.072	0.22	0.16	0.036	0.152	4.224	0.084	12.452	0.184	0.064	0.124	0.096	0.192	0.044	0.064	1.444	0.06	12.524	7.516	0.016	0.096	0.632	0.148	3.336	0.176	0.304	0.128	0.04	0.076	1.124	0.068	0.128	0.068	0.036	0.024	0.064	0.056
CHEK1	0.068	0	0.26	0.008	0.028	0.024	0	0.02	0.228	0.004	0.364	0.04	0.004	0.008	0	0.016	0	0.012	0.012	0.032	0.096	0.096	0	0.008	0.108	0.004	0.532	0.024	0.012	0.024	0.008	0.008	0.032	0.024	0.016	0	0.004	0.012	0	0.008
CD1C	0.008	0	0.008	0.004	0	0.024	0.004	0	0.016	0	0.036	0	0.004	0	0	0	0.004	0.012	0	0.004	0.008	0.008	0	0	0.04	0.004	0.08	0	0.004	0.012	0	0.008	0	0.032	0	0	0	0	0.004	0
EOMES	0.084	0.004	0.18	0	0	0	0.008	0	0.048	0	0.14	0	0.012	0	0	0	0.004	0	0.044	0	0.156	0.092	0.004	0	0.016	0	0.04	0.004	0.016	0.004	0.004	0.004	0.024	0.004	0	0	0	0.008	0	0.004
IKZF2	0.092	0	0.192	0.004	0.004	0.02	0	0	0.08	0.004	0.188	0.024	0.008	0	0	0.008	0	0.012	0.024	0	0.192	0.076	0	0.004	0.024	0.012	0.14	0.008	0	0.012	0	0	0.016	0.004	0.004	0.008	0.012	0.012	0	0.008
FN1	5.632	0.16	8.196	0.08	0.18	0.096	0.064	0.06	14.972	0.06	7.756	0.4	0.484	0.084	0.224	0.164	0.1	0.096	2.068	0.172	3.948	8.444	0.064	0.06	4.072	0.052	22.576	0.74	0.46	0.776	0.168	0.056	0.724	0.088	0.06	0.04	0.06	0.052	0.236	0.084
PLOD2	0.18	0.004	0.652	0.004	0.008	0.036	0	0.008	0.28	0.008	0.364	0.028	0.02	0.032	0.004	0	0.004	0.016	0.056	0.004	0.396	0.248	0.008	0.008	0.124	0.012	0.584	0.028	0.016	0.016	0.004	0.024	0.028	0.004	0	0.004	0.008	0	0.004	0
ZAP70	0.004	0	0.012	0.004	0.004	0	0	0.004	0.012	0.008	0.008	0.004	0.004	0	0	0	0	0	0	0	0	0.008	0	0	0.004	0	0.028	0.004	0	0	0	0	0	0.004	0.004	0	0	0	0	0
CSF3R	0.872	0.064	1.88	0.072	0.08	0.056	0.072	0.044	0.636	0.06	2.132	0.216	0.024	0.084	0.044	0.104	0.088	0.076	0.368	0.12	1.192	1.572	0.024	0.068	0.272	0.04	1.264	0.056	0.192	0.036	0.064	0.056	0.308	0.136	0.016	0.044	0	0.032	0.068	0.064
DIABLO	0.18	0.004	0.36	0.012	0.012	0.02	0.004	0.008	0.456	0.02	0.212	0.032	0.028	0.012	0.02	0.024	0.004	0.032	0.088	0.012	0.232	0.284	0.016	0.004	0.224	0.012	0.572	0.032	0.016	0.02	0.004	0.008	0.08	0.02	0.004	0.016	0.012	0.008	0.008	0.008
WWTR1	0.136	0.004	0.356	0.012	0.016	0.016	0	0.012	0.48	0.016	0.36	0.036	0.016	0.004	0.008	0.024	0.012	0.012	0.028	0.008	0.26	0.24	0.012	0.012	0.116	0	0.504	0.024	0.024	0.02	0.004	0.016	0.04	0.024	0.016	0.008	0.008	0.012	0.008	0.004
SRPRB	0.068	0	0.116	0.004	0	0	0	0	0.368	0.004	0.096	0.008	0.016	0.004	0	0.008	0	0	0.004	0	0.112	0.068	0	0.016	0.096	0	0.352	0.012	0.012	0.02	0.004	0.004	0.012	0.012	0.008	0	0	0.008	0.004	0.008
IL13	0.308	0	0.332	0.016	0.02	0.072	0.016	0.004	0.608	0.036	0.832	0.052	0.04	0.064	0.02	0.012	0	0.036	0.116	0.032	0.636	0.404	0.02	0	0.128	0.02	0.776	0.036	0.032	0.044	0.024	0.024	0.024	0.016	0.012	0.016	0.02	0.02	0.024	0.024
HDAC3	0.168	0.004	0.492	0.004	0.004	0.008	0.004	0.004	0.344	0.016	0.276	0.02	0	0.004	0.004	0	0.004	0.024	0.092	0.02	0.24	0.232	0.016	0.008	0.1	0.008	0.404	0.016	0.024	0.028	0.004	0.016	0.012	0.032	0.008	0	0.008	0.012	0.024	0.004
EPHA4	0.064	0.008	0.128	0.012	0.008	0.024	0.004	0.012	0.112	0.016	0.192	0.024	0.012	0.004	0.012	0.012	0	0.012	0.024	0	0.128	0.124	0.004	0.008	0.084	0.012	0.24	0.008	0.012	0.016	0.016	0.028	0.016	0.012	0.024	0.008	0	0.004	0.012	0.008
ARAF	0.14	0	0.424	0.004	0.016	0.012	0.004	0.004	0.52	0.008	0.284	0.008	0.028	0.008	0.02	0.008	0.004	0	0.044	0	0.236	0.196	0.008	0.004	0.132	0	0.424	0.008	0.016	0.004	0.024	0.012	0.076	0.008	0.012	0	0.004	0.016	0.016	0.004
VSIR	0.256	0.008	0.472	0.008	0	0.032	0	0.004	0.6	0.028	0.324	0.032	0.04	0.004	0.004	0.028	0.004	0.008	0.016	0.016	0.544	0.26	0.02	0.016	0.18	0.008	0.784	0.036	0.008	0.04	0.016	0.04	0.036	0.012	0.004	0.004	0	0	0.016	0.004
TMEM59	0.708	0.008	1.82	0.008	0.028	0.024	0.004	0.028	1.452	0.028	1.448	0.024	0.08	0.02	0.012	0.024	0.024	0.024	0.256	0.02	1.396	1.196	0.008	0.008	0.28	0.024	1.912	0.076	0.072	0.036	0.044	0.016	0.196	0.036	0.036	0.02	0.028	0.012	0.016	0.004
COL6A3	0.272	0.004	0.596	0.004	0.016	0.056	0	0.008	0.464	0.016	0.376	0.04	0.02	0.012	0.02	0.02	0.008	0.008	0.14	0.008	0.544	0.384	0.028	0.02	0.296	0.02	1.408	0.044	0.028	0.056	0.008	0.016	0.04	0.016	0.016	0	0.008	0.016	0.016	0
WNT5A	0.032	0.004	0.092	0.016	0.028	0.024	0	0	0.548	0.004	0.12	0.032	0.004	0.028	0.016	0.016	0	0.012	0.024	0.004	0.168	0.16	0.008	0.008	0.056	0	0.364	0.02	0	0.016	0	0.008	0.004	0.028	0.008	0.008	0.004	0.004	0	0.008
BTLA	0.084	0	0.208	0.008	0	0.004	0	0.016	0.092	0.004	0.092	0.032	0.004	0.012	0.012	0.016	0.008	0.032	0.016	0.004	0.056	0.1	0.008	0.004	0.072	0.008	0.328	0.032	0.016	0.032	0.008	0.008	0.028	0.024	0.012	0.012	0.008	0.004	0.008	0.004
SRC	0.14	0.004	0.52	0.024	0.068	0.008	0	0.012	1.244	0.016	0.692	0.08	0.044	0.004	0.02	0.008	0.004	0.024	0.064	0.02	0.344	0.408	0.004	0.028	0.256	0.016	1.34	0.048	0.032	0.044	0.008	0.02	0.048	0.016	0.012	0.036	0	0.008	0.016	0
NOS3	0.044	0	0.104	0.008	0	0.008	0	0.004	0.104	0.008	0.148	0.004	0	0	0.004	0.016	0	0.004	0.028	0.004	0.116	0.048	0.008	0	0.036	0	0.14	0.012	0	0.008	0.004	0.004	0	0.008	0.008	0.004	0	0.012	0.016	0.004
BUB1	0.156	0.008	0.344	0.016	0.008	0.028	0	0.016	0.24	0.02	0.516	0.024	0.016	0.012	0.008	0.016	0.004	0.004	0.028	0.004	0.208	0.164	0	0.004	0.088	0	0.5	0.012	0.004	0	0.004	0.044	0.024	0.016	0.012	0.02	0.008	0.004	0.024	0
CD80	0.496	0.02	1.484	0.008	0.02	0.064	0.012	0.02	0.724	0.044	0.836	0.04	0.016	0.036	0.028	0.02	0.008	0.036	0.128	0.024	0.672	1.084	0.008	0.004	0.348	0.008	0.74	0.068	0.032	0.048	0.028	0.032	0.112	0.052	0.048	0.032	0.024	0.032	0.024	0.024
TGFB2	0.048	0	0.112	0	0.008	0.008	0.008	0.004	0.2	0.012	0.12	0.048	0.012	0	0.008	0	0.008	0.012	0.008	0.02	0.232	0.052	0.008	0.004	0.04	0	0.188	0.016	0.012	0	0.004	0	0.012	0.012	0.008	0	0.008	0.008	0.008	0.008
ENG	0.672	0.004	2.1	0.016	0.048	0.096	0.012	0.04	1.104	0.028	1.172	0.152	0.052	0.064	0.068	0.02	0.004	0.012	0.204	0.02	0.88	0.708	0.016	0.012	0.32	0.008	1.984	0.092	0.048	0.04	0.06	0.032	0.128	0.04	0.04	0.016	0.028	0.036	0.016	0.024
MUC1	1.38	0.088	3.856	0.044	0.1	0.592	0.04	0.132	0.076	0.056	4.384	0.356	0	0.164	0.24	0.056	0.048	0.176	0.78	0.06	3.22	2.636	0.272	0.056	0.024	0.06	0.196	0.004	0.36	0.012	0.28	0.036	0.416	0.052	0.156	0.116	0.268	0.264	0.212	0.028
CASP8	0.132	0.012	0.424	0.004	0.02	0.02	0.008	0.008	0.22	0.004	0.332	0.02	0.02	0	0.016	0.008	0.004	0.012	0.072	0.008	0.38	0.164	0.008	0.004	0.068	0	0.468	0.028	0.012	0.008	0.012	0.016	0.016	0.004	0.004	0	0.008	0.008	0	0
PIK3CG	0.04	0.012	0.24	0	0.028	0.02	0.004	0.004	0.212	0.004	0.32	0.024	0.016	0.008	0	0.012	0	0.008	0.016	0.004	0.328	0.08	0.008	0	0.076	0.008	0.328	0.028	0.032	0.024	0.012	0.02	0.02	0.004	0.012	0.012	0.004	0.012	0.008	0.02
BRAF	0.184	0.008	0.54	0.016	0.008	0.028	0	0.024	0.24	0.008	0.444	0.016	0.02	0.024	0.004	0.004	0.012	0.004	0.104	0.016	0.572	0.348	0.012	0.008	0.092	0.004	0.54	0.036	0.028	0.016	0.008	0.016	0.064	0.004	0.008	0.004	0.004	0.008	0.012	0.004
HLA.DPB1	4.088	0.14	7.884	0.028	0.24	0.376	0.052	0.096	7.844	0.18	5.852	0.428	0.504	0.128	0.136	0.164	0.092	0.104	1.484	0.14	8.38	4.324	0.204	0.148	3	0.108	16.392	0.788	0.316	0.576	0.124	0.14	0.544	0.064	0.248	0.128	0.18	0.136	0.232	0.12
CSF2RA	0.228	0.02	0.632	0.012	0.012	0.036	0.012	0.032	0.5	0.02	0.8	0.024	0.016	0.028	0.008	0.008	0.012	0.024	0.18	0.016	0.404	0.396	0.016	0.016	0.312	0.02	1.312	0.068	0.04	0.02	0	0.008	0.084	0.04	0.008	0	0.012	0.008	0.012	0
PDGFC	0.768	0.012	1.172	0.016	0.02	0.052	0.004	0.036	0.48	0.04	1.54	0.076	0.024	0.032	0.024	0.008	0.016	0.064	0.256	0.012	1.32	0.632	0.028	0.02	0.12	0.028	0.684	0.032	0.104	0.016	0.016	0.012	0.116	0.032	0.032	0.024	0.028	0.016	0.024	0.004
LEF1	0.1	0	0.16	0.004	0.004	0.008	0.008	0	0.204	0.008	0.196	0.028	0.012	0.012	0.012	0	0.004	0.004	0.028	0.008	0.172	0.144	0.004	0.008	0.096	0.012	0.336	0.012	0.008	0.02	0.004	0.012	0.016	0.004	0.004	0.02	0	0.008	0.008	0
TGFBI	2.668	0.02	4.312	0.048	0.172	0.092	0.004	0.072	4.492	0.056	3.596	0.184	0.212	0.128	0.052	0.032	0.036	0.104	0.872	0.024	5.168	3.824	0.064	0.052	1.64	0.084	4.656	0.288	0.176	0.232	0.036	0.068	0.464	0.076	0.12	0.12	0.024	0.056	0.076	0.048
RGMB	0.048	0	0.22	0.004	0	0.012	0.004	0.012	0.108	0.004	0.16	0.008	0	0.004	0	0.004	0.004	0.008	0.008	0	0.172	0.072	0	0.008	0.044	0.016	0.2	0.008	0.008	0.004	0.008	0.016	0	0.012	0.004	0.008	0.004	0.008	0	0.008
IDO1	0.076	0.012	0.072	0.008	0.024	0.008	0.004	0.012	0.412	0.012	0.16	0.02	0	0.012	0.008	0.008	0	0.02	0.016	0.004	0.056	0.044	0.012	0	0.152	0.008	0.324	0.02	0.008	0.012	0.004	0.012	0.028	0.008	0.012	0.016	0.004	0	0.004	0.004
